               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.028019,           0.0048941,            0.030759,             0.45933,             0.56675,             0.52313,             0.42409,            0.020128,           0.0037328,            0.033503,            0.004258,            0.004258,            0.004258
                  60,            0.028345,           0.0049675,            0.030412,             0.46265,             0.56792,             0.52625,             0.42715,            0.020115,           0.0037294,            0.033323,            0.004159,            0.004159,            0.004159
                  61,            0.028257,           0.0049383,            0.030007,             0.47083,             0.56703,             0.52958,             0.43018,            0.020096,           0.0037252,            0.033134,             0.00406,             0.00406,             0.00406
                  62,             0.02799,            0.004862,            0.029869,             0.47334,             0.56943,             0.53248,             0.43273,            0.020073,           0.0037215,             0.03295,            0.003961,            0.003961,            0.003961
                  63,            0.028057,           0.0048834,            0.029523,             0.47777,             0.56951,             0.53547,             0.43521,            0.020057,           0.0037165,            0.032761,            0.003862,            0.003862,            0.003862
                  64,            0.028142,           0.0048723,            0.029143,             0.48394,             0.56697,             0.53881,             0.43843,            0.020039,           0.0037126,            0.032584,            0.003763,            0.003763,            0.003763
                  65,             0.02776,             0.00485,            0.028169,             0.48305,             0.57032,             0.54216,             0.44099,            0.020026,           0.0037081,            0.032403,            0.003664,            0.003664,            0.003664
                  66,            0.027586,           0.0048579,             0.02766,             0.48742,              0.5705,             0.54535,             0.44402,            0.020013,           0.0037035,            0.032221,            0.003565,            0.003565,            0.003565
                  67,             0.02777,           0.0048299,            0.027545,             0.49114,             0.57281,             0.54854,             0.44673,            0.019995,           0.0036991,            0.032046,            0.003466,            0.003466,            0.003466
                  68,            0.027758,            0.004844,            0.027133,             0.49256,              0.5748,             0.55158,             0.44947,            0.019975,           0.0036945,            0.031877,            0.003367,            0.003367,            0.003367
                  69,            0.027848,           0.0048828,            0.027213,             0.49726,             0.57367,             0.55483,             0.45259,             0.01996,           0.0036897,            0.031701,            0.003268,            0.003268,            0.003268
                  70,            0.027248,           0.0047758,            0.025941,             0.50065,             0.57536,             0.55755,             0.45526,            0.019948,           0.0036848,            0.031522,            0.003169,            0.003169,            0.003169
                  71,            0.026938,           0.0047217,             0.02541,             0.50577,             0.57677,             0.56098,             0.45812,            0.019935,           0.0036793,            0.031338,             0.00307,             0.00307,             0.00307
                  72,            0.027282,           0.0047369,            0.025685,             0.51011,             0.57913,             0.56432,             0.46118,            0.019924,           0.0036743,            0.031159,            0.002971,            0.002971,            0.002971
                  73,            0.026945,           0.0046919,            0.024989,             0.51251,             0.58153,             0.56733,             0.46411,            0.019912,           0.0036694,            0.030981,            0.002872,            0.002872,            0.002872
                  74,            0.026531,           0.0046631,            0.024818,             0.51778,             0.58282,             0.57072,             0.46726,            0.019899,           0.0036646,            0.030796,            0.002773,            0.002773,            0.002773
                  75,            0.026889,           0.0046598,            0.024466,              0.5206,             0.58674,              0.5739,             0.47029,            0.019885,           0.0036596,            0.030615,            0.002674,            0.002674,            0.002674
                  76,            0.026393,           0.0046242,            0.023743,             0.52509,             0.58593,             0.57695,             0.47307,             0.01987,           0.0036548,            0.030437,            0.002575,            0.002575,            0.002575
                  77,            0.026683,           0.0046174,            0.023448,             0.52949,             0.58581,              0.5804,             0.47657,            0.019858,           0.0036499,            0.030253,            0.002476,            0.002476,            0.002476
                  78,            0.026445,           0.0045499,            0.022909,             0.53494,             0.58793,             0.58408,             0.47987,            0.019842,           0.0036444,            0.030067,            0.002377,            0.002377,            0.002377
                  79,            0.025813,           0.0045841,            0.022726,              0.5424,             0.58617,             0.58731,             0.48278,            0.019828,           0.0036391,            0.029882,            0.002278,            0.002278,            0.002278
                  80,            0.025969,           0.0045041,            0.022047,             0.54606,             0.58838,              0.5907,              0.4856,            0.019809,           0.0036342,            0.029695,            0.002179,            0.002179,            0.002179
                  81,            0.025687,           0.0045493,            0.022049,             0.54963,             0.58986,             0.59414,              0.4886,              0.0198,           0.0036294,            0.029498,             0.00208,             0.00208,             0.00208
                  82,            0.025343,           0.0044927,            0.021561,              0.5584,             0.58857,             0.59783,             0.49167,            0.019787,           0.0036244,            0.029298,            0.001981,            0.001981,            0.001981
                  83,            0.025171,           0.0044544,            0.021066,              0.5621,             0.58988,             0.60132,             0.49471,            0.019774,           0.0036195,            0.029096,            0.001882,            0.001882,            0.001882
                  84,            0.025005,           0.0044264,            0.020889,             0.56916,             0.59114,             0.60482,             0.49763,            0.019763,           0.0036139,            0.028896,            0.001783,            0.001783,            0.001783
                  85,            0.024797,           0.0043945,            0.020106,              0.5779,             0.59055,              0.6081,             0.50065,            0.019746,           0.0036082,            0.028688,            0.001684,            0.001684,            0.001684
                  86,            0.024396,           0.0043479,            0.019705,             0.58619,             0.58932,             0.61125,             0.50315,             0.01973,           0.0036026,            0.028481,            0.001585,            0.001585,            0.001585
                  87,            0.024412,           0.0043792,            0.019176,              0.5916,             0.59203,             0.61455,             0.50606,            0.019714,           0.0035964,            0.028272,            0.001486,            0.001486,            0.001486
                  88,            0.024217,            0.004357,            0.019258,             0.59587,             0.59372,             0.61743,             0.50865,            0.019699,           0.0035899,            0.028061,            0.001387,            0.001387,            0.001387
                  89,            0.023796,           0.0042987,            0.018729,             0.60396,             0.59287,             0.62052,              0.5114,            0.019681,           0.0035829,            0.027842,            0.001288,            0.001288,            0.001288
                  90,            0.023562,           0.0042677,            0.018591,             0.61383,             0.59247,             0.62363,             0.51387,            0.019663,            0.003576,             0.02762,            0.001189,            0.001189,            0.001189
                  91,            0.023302,           0.0042167,            0.018166,             0.62136,             0.59239,             0.62674,             0.51665,            0.019645,           0.0035692,            0.027397,             0.00109,             0.00109,             0.00109
                  92,             0.02315,           0.0042245,            0.017696,             0.62731,             0.59281,             0.62972,             0.51946,            0.019628,           0.0035623,            0.027164,            0.000991,            0.000991,            0.000991
                  93,            0.022838,           0.0042085,            0.017345,             0.63312,             0.59402,             0.63241,             0.52213,            0.019611,           0.0035558,            0.026931,            0.000892,            0.000892,            0.000892
                  94,            0.022498,           0.0041594,            0.017349,             0.64011,             0.59372,             0.63538,             0.52482,            0.019587,           0.0035489,            0.026693,            0.000793,            0.000793,            0.000793
                  95,            0.022268,           0.0041326,            0.016729,             0.65067,             0.59291,             0.63846,              0.5275,             0.01957,           0.0035421,            0.026452,            0.000694,            0.000694,            0.000694
                  96,            0.021941,           0.0041285,            0.016262,             0.65587,             0.59498,             0.64158,             0.53021,            0.019552,           0.0035349,            0.026208,            0.000595,            0.000595,            0.000595
                  97,             0.02185,           0.0041127,            0.016303,             0.66006,             0.59647,             0.64483,             0.53329,            0.019536,           0.0035278,            0.025959,            0.000496,            0.000496,            0.000496
                  98,             0.02124,           0.0041186,            0.016045,             0.66448,             0.59718,             0.64757,             0.53577,            0.019516,           0.0035204,            0.025716,            0.000397,            0.000397,            0.000397
                  99,            0.020908,           0.0040593,            0.015719,             0.66958,             0.59716,             0.65068,             0.53835,              0.0195,           0.0035135,            0.025467,            0.000298,            0.000298,            0.000298
